Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
AC141586.1,,,,,,,,,,,,,,,,,,,,,,
AC145676.2,,,,,,,,,,,,,,,,,,,,,,
AC152006.1,,,,,,,,,,,,,,,,,,,,,,
AC174470.1,,,,,,,,,,,,,,,,,,,,,,
AC217773.1,,,,,,,,,,,,,,,,,,,,,,
AC226150.4,,,,,,,,,,,,,,,,,,,,,,
ACAA1,0.720899314,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAA2,0.086497602,Target,37-102 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,,4-6 CDS,,,,,,,,,,
ACACA,0.172325328,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,, > 13 CDS,> 4:1,,,,,,,,,
ACACB,1.423689591,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAD10,0.377213652,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAD11,0.277136009,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAD8,0.926077496,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAD9,1.138564077,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACADL,-0.087066601,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACADM,-0.23708945,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACADS,-0.029315398,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACADSB,-1.299611004,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACADVL,0.162566794,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAN,0.032252219,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAP1,-0.242470169,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAP2,-0.729779736,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
ACAP3,1.724403993,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACAT1,0.097768771,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ACAT2,-0.648167292,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ACBD3,0.769538184,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACBD4,0.00970427,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACBD5,0.591537288,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
ACBD6,0.095782986,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ACBD7,,,,,,,,,,,,,,,,,,,,,,
ACCN1,,,,,,,,,,,,,,,,,,,,,,
ACCN2,0.700591766,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACCN3,,,,,,,,,,,,,,,,,,,,,,
ACCN4,,,,,,,,,,,,,,,,,,,,,,
ACCS,0.312337838,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACCSL,,,,,,,,,,,,,,,,,,,,,,
ACD,-0.075062266,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACE,1.156178974,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACE2,,,,,,,,,,,,,,,,,,,,,,
ACER1,,,,,,,,,,,,,,,,,,,,,,
ACER2,,,,,,,,,,,,,,,,,,,,,,
ACER3,-2.707233964,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-3UTR,Exon,,3'UTR,,,,,,,,,,,
ACHE,0.191769962,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACIN1,0.223320696,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,CDS, > 13 CDS,,,,,,,,,,
ACLY,1.531148366,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
ACMSD,,,,,,,,,,,,,,,,,,,,,,
ACN9,,,,,,,,,,,,,,,,,,,,,,
ACO1,0.568861372,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ACO2,1.235692395,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ACOT1,0.477061783,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACOT11,0.220427313,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACOT12,,,,,,,,,,,,,,,,,,,,,,
ACOT13,-1.806162886,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACOT2,,,,,,,,,,,,,,,,,,,,,,
ACOT4,,,,,,,,,,,,,,,,,,,,,,
ACOT6,,,,,,,,,,,,,,,,,,,,,,
ACOT7,-0.42486727,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACOT8,-0.684082716,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACOT9,0.308105388,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
ACOX1,0.362079173,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,4-6 CDS,at most 1:3,,,,,,,,,
ACOX2,,,,,,,,,,,,,,,,,,,,,,
ACOX3,1.694246251,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACOXL,0.415041161,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACP1,-1.55391508,Target,37-102 Reads,2-4 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
ACP2,1.077409437,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Intron,,Intron,,,,,,,,,,,
ACP5,,,,,,,,,,,,,,,,,,,,,,
ACP6,0.50311786,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACPL2,-0.439120317,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACPP,,,,,,,,,,,,,,,,,,,,,,
ACPT,0.703207505,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACR,,,,,,,,,,,,,,,,,,,,,,
ACRBP,,,,,,,,,,,,,,,,,,,,,,
ACRC,0.913890908,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACRV1,,,,,,,,,,,,,,,,,,,,,,
ACSBG1,,,,,,,,,,,,,,,,,,,,,,
ACSBG2,,,,,,,,,,,,,,,,,,,,,,
ACSF2,0.449159405,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACSF3,0.735227752,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,,Intron,,Intron,,,,,,,,,,,
ACSL1,0.898572527,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
ACSL3,-0.248435501,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
ACSL4,-0.077922293,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
ACSL5,,,,,,,,,,,,,,,,,,,,,,
ACSL6,,,,,,,,,,,,,,,,,,,,,,
ACSM1,,,,,,,,,,,,,,,,,,,,,,
ACSM2A,,,,,,,,,,,,,,,,,,,,,,
ACSM2B,,,,,,,,,,,,,,,,,,,,,,
ACSM3,1.323361825,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACSM4,,,,,,,,,,,,,,,,,,,,,,
ACSM5,,,,,,,,,,,,,,,,,,,,,,
ACSS1,0.517140044,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACSS2,0.368525185,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACSS3,0.603771095,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTA1,,,,,,,,,,,,,,,,,,,,,,
ACTA2,-0.153700966,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTB,-0.130401994,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
ACTBL2,,,,,,,,,,,,,,,,,,,,,,
ACTC1,0.047360545,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTG1,0.152762277,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
ACTG2,,,,,,,,,,,,,,,,,,,,,,
ACTL6A,-0.623902868,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
ACTL6B,,,,,,,,,,,,,,,,,,,,,,
ACTL7A,,,,,,,,,,,,,,,,,,,,,,
ACTL7B,,,,,,,,,,,,,,,,,,,,,,
ACTL8,-0.195262575,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTL9,,,,,,,,,,,,,,,,,,,,,,
ACTN1,1.356344308,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,CDS,4-6 CDS,,,,,,,,,,
ACTN2,1.113877618,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTN4,0.747816925,Target, > 301 Reads, > 24 Clusters,2-3 ACUK,4 or more WGGA,< 1:1,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
ACTR10,-0.623600346,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTR1A,0.589284081,Target,13-36 Reads,2-4 Clusters,0 ACUK,2-3 WGGA,,WGGA-CDS,Exon,,CDS,4-6 CDS,,,,,,,,,,
ACTR1B,0.371983259,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTR2,-1.661065007,Target,37-102 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
ACTR3,-1.422001819,Target,103-301 Reads,5-10 Clusters,2-3 ACUK,2-3 WGGA,> 1:1,,Exon,,CDS,7-13 CDS,,,,,,,,,,
ACTR3B,-0.026908717,Target,13-36 Reads,2-4 Clusters,0 ACUK,2-3 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
ACTR5,1.164244261,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTR6,-0.365012279,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACTR8,0.789810557,Target,13-36 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
ACTRT1,,,,,,,,,,,,,,,,,,,,,,
ACTRT2,,,,,,,,,,,,,,,,,,,,,,
ACVR1,0.013353547,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACVR1B,1.034741392,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,0 WGGA,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
ACVR1C,,,,,,,,,,,,,,,,,,,,,,
ACVR2A,0.106835472,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-3UTR,Exon,,3'UTR,,,,,,,,,,,
ACVR2B,0.472134772,Target,103-301 Reads,11-24 Clusters,4 or more ACUK,4 or more WGGA,< 1:1,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
ACVRL1,,,,,,,,,,,,,,,,,,,,,,
ACY1,0.548576548,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACY3,,,,,,,,,,,,,,,,,,,,,,
ACYP1,-1.118875273,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ACYP2,-1.343854097,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
AD000671.1,,,,,,,,,,,,,,,,,,,,,,
AD001527.1,,,,,,,,,,,,,,,,,,,,,,
ADA,0.870109179,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,+ASD/-Target,,,,,,,,
ADAD1,,,,,,,,,,,,,,,,,,,,,,
ADAD2,-0.224128005,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAL,0.075607145,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM10,,,,,,,,,,,,,,,,,,,,,,
ADAM11,0.349540214,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM12,,,,,,,,,,,,,,,,,,,,,,
ADAM15,0.508457894,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ADAM17,0.104096565,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
ADAM18,,,,,,,,,,,,,,,,,,,,,,
ADAM19,-0.238680575,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM2,,,,,,,,,,,,,,,,,,,,,,
ADAM20,,,,,,,,,,,,,,,,,,,,,,
ADAM21,0.654037369,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM22,1.181728438,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ADAM23,0.353800025,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM28,,,,,,,,,,,,,,,,,,,,,,
ADAM29,,,,,,,,,,,,,,,,,,,,,,
ADAM30,,,,,,,,,,,,,,,,,,,,,,
ADAM32,,,,,,,,,,,,,,,,,,,,,,
ADAM33,-0.353472546,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM7,,,,,,,,,,,,,,,,,,,,,,
ADAM8,0.621427233,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAM9,0.220123482,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
ADAMDEC1,,,,,,,,,,,,,,,,,,,,,,
ADAMTS1,1.238149303,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
ADAMTS10,-0.287119805,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS12,,,,,,,,,,,,,,,,,,,,,,
ADAMTS13,0.56943151,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS14,,,,,,,,,,,,,,,,,,,,,,
ADAMTS15,1.272757998,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS16,,,,,,,,,,,,,,,,,,,,,,
ADAMTS17,1.124201536,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS18,,,,,,,,,,,,,,,,,,,,,,
ADAMTS19,0.443110774,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS2,0.874668762,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS3,1.598952019,Target,5-12 Reads,1 Cluster,,,,,Intron,,Intron,,,,,,,,,,,
ADAMTS4,0.142320183,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS5,,,,,,,,,,,,,,,,,,,,,,
ADAMTS6,,,,,,,,,,,,,,,,,,,,,,
ADAMTS7,0.060021047,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS8,1.071946054,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTS9,1.250568509,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAMTSL1,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL2,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL3,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL4,,,,,,,,,,,,,,,,,,,,,,
ADAMTSL5,0.165479744,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAP1,0.152966752,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADAP2,0.521920556,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Intron,,Intron,,,,,,,,,,,
ADAR,1.074989761,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
ADARB1,0.540886123,Target,13-36 Reads,2-4 Clusters,0 ACUK,2-3 WGGA,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
ADARB2,,,,,,,,,,,,,,,,,,,,,,
ADAT1,0.679310634,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
ADAT2,,,,,,,,,,,,,,,,,,,,,,
ADAT3,0.345571866,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADC,-0.00140155,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADCK1,0.07036381,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADCK2,0.574002066,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
ADCK3,,,,,,,,,,,,,,,,,,,,,,
ADCK4,0.470034694,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADCK5,0.490469218,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADCY1,1.292835322,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,> 4:1,,,,,,,,,
ADCY10,,,,,,,,,,,,,,,,,,,,,,
ADCY2,,,,,,,,,,,,,,,,,,,,,,
ADCY3,1.269067039,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
ADCY4,-0.187216668,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADCY5,,,,,,,,,,,,,,,,,,,,,,
ADCY6,0.67111337,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
ADCY7,0.680900274,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADCY8,,,,,,,,,,,,,,,,,,,,,,
ADCY9,0.630962353,Target,37-102 Reads,11-24 Clusters,1 ACUK,0 WGGA,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
ADCYAP1,,,,,,,,,,,,,,,,,,,,,,
ADCYAP1R1,0.909153038,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADD1,1.195705487,Target,37-102 Reads,11-24 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
ADD2,0.418412909,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
ADD3,-0.434117525,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
ADH1A,,,,,,,,,,,,,,,,,,,,,,
ADH1B,,,,,,,,,,,,,,,,,,,,,,
ADH4,,,,,,,,,,,,,,,,,,,,,,
ADH5,-0.320135616,Target,5-12 Reads,2-4 Clusters,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
ADH6,,,,,,,,,,,,,,,,,,,,,,
ADH7,,,,,,,,,,,,,,,,,,,,,,
ADHFE1,-0.050653997,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADI1,-0.72258493,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADIG,0.467310459,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ADIPOQ,,,,,,,,,,,,,,,,,,,,,,
